Name,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots pergame,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,Table,"Shots per 
game","Shots per
game"
Lionel Messi,8.48,94,"AM(CR), FW",29.0,2710.0,13.0,3.0,0.0,0.2,17.0,0.4,0.1,0.6,0.0,0.0,0.5,0.0,0.0,36.0,5.0,3.9,1.9,0.5,2.3,1.9,2.7,53.8,81.3,0.4,3.4,0.9,Data,0.5562858827919068,1.1064663951120162
Cristiano Ronaldo,7.68,94,"M(L), FW",30.0,2689.0,8.0,3.0,0.0,1.1,10.0,0.3,0.2,0.6,0.0,1.0,0.3,0.1,0.0,21.0,5.7,1.5,1.6,0.9,1.3,1.7,1.5,33.3,85.1,0.5,1.0,0.0,Data,0.5562858827919068,1.1064663951120162
Neymar,8.26,92,"AM(CLR), FW",16.0,1444.0,7.0,2.0,0.0,0.5,7.0,0.8,0.3,0.7,0.0,0.1,1.0,0.0,0.0,15.0,3.2,4.4,3.4,0.4,4.2,4.1,2.5,57.8,81.1,1.0,2.5,0.9,Data,0.5562858827919068,1.1064663951120162
Luis Suárez,7.57,91,"AM(CLR), FW",31.0,2830.0,6.0,5.0,0.0,0.7,5.0,0.5,0.2,0.9,0.0,0.7,0.2,0.1,0.0,21.0,3.4,1.1,1.7,0.8,1.6,2.3,1.4,29.0,75.3,0.2,1.5,0.1,Data,0.5562858827919068,1.1064663951120162
Luka Modric,7.03,91,M(C),31.0,2618.0,6.0,6.0,0.0,0.4,1.0,1.4,0.9,0.8,0.0,0.2,1.0,0.1,0.0,3.0,1.1,1.6,1.4,0.1,1.2,1.1,1.6,55.6,88.9,0.6,4.1,0.1,Data,0.5562858827919068,1.1064663951120162
Sergio Ramos,6.91,91,D(CR),28.0,2476.0,1.0,5.0,1.0,2.2,2.0,1.5,1.3,1.0,1.0,3.0,0.6,0.5,0.0,6.0,1.1,0.1,1.3,0.2,0.1,0.4,0.3,68.5,92.1,0.0,7.1,0.0,Data,0.5562858827919068,1.1064663951120162
Leo Suárez,6.25,91,FW,7.0,520.0,0.0,0.0,0.0,0.3,0.0,0.3,0.1,0.4,0.0,0.3,0.2,0.1,0.0,2.0,0.8,0.3,0.8,0.3,0.6,1.4,0.2,12.3,80.4,0.0,0.4,0.1,Data,0.5562858827919068,1.1064663951120162
Eden Hazard,7.81,91,"M(CLR), FW",32.0,2926.0,15.0,2.0,0.0,0.5,14.0,0.4,0.4,0.3,0.0,0.1,0.3,0.0,0.0,16.0,2.5,3.7,2.8,0.3,2.3,2.4,2.6,49.2,84.3,0.9,2.7,0.3,Data,0.5562858827919068,1.1064663951120162
Kevin De Bruyne,7.05,91,"M(CLR), FW",11.0,978.0,2.0,2.0,0.0,0.3,2.0,1.2,0.2,0.5,0.1,0.1,0.7,0.1,0.0,2.0,1.6,1.0,0.8,0.1,0.7,1.2,1.9,38.2,83.7,1.1,2.4,0.2,Data,0.5562858827919068,1.1064663951120162
Robert Lewandowski,7.65,90,FW,33.0,2959.0,7.0,2.0,0.0,1.7,5.0,0.4,0.2,0.8,0.0,0.5,0.2,0.0,0.0,22.0,4.4,1.5,1.4,0.9,1.5,2.8,1.4,22.1,77.5,0.0,0.6,0.2,Data,0.5562858827919068,1.1064663951120162
Toni Kroos,7.09,90,M(C),26.0,2227.0,4.0,2.0,0.0,0.8,2.0,1.8,0.5,0.8,0.0,0.4,1.5,0.1,0.0,0.0,1.1,0.5,2.0,0.0,0.4,0.6,2.3,74.0,93.2,1.5,7.8,0.1,Data,0.5562858827919068,1.1064663951120162
Diego Godín,6.98,90,D(C),28.0,2508.0,1.0,7.0,0.0,3.0,1.0,1.7,1.5,1.1,0.2,4.5,0.7,0.3,1.0,3.0,0.5,0.3,0.8,0.0,0.0,0.4,0.1,34.9,80.5,0.0,3.1,0.0,Data,0.5562858827919068,1.1064663951120162
David Silva,7.26,90,M(CLR),28.0,2412.0,8.0,3.0,0.0,0.6,1.0,0.9,0.7,0.8,0.0,0.4,0.6,0.0,0.0,6.0,1.5,0.9,0.8,0.2,0.9,0.8,2.2,61.1,87.8,0.5,1.2,0.2,Data,0.5562858827919068,1.1064663951120162
Antoine Griezmann,7.29,89,"AM(CLR), FW",37.0,3204.0,9.0,5.0,0.0,1.1,4.0,0.8,0.3,0.5,0.0,0.6,0.5,0.0,0.0,15.0,3.1,0.5,0.9,0.3,1.3,1.5,2.0,37.5,78.3,0.6,1.3,0.1,Data,0.5562858827919068,1.1064663951120162
Sergio Busquets,7.0,89,DMC,30.0,2720.0,1.0,10.0,0.0,1.5,0.0,2.6,1.5,1.1,0.0,0.6,1.4,0.2,0.0,0.0,0.2,0.3,1.5,0.0,0.7,0.4,0.4,68.4,89.7,0.0,4.3,0.1,Data,0.5562858827919068,1.1064663951120162
Edinson Cavani,7.44,89,"AM(LR), FW",20.0,1676.0,5.0,1.0,0.0,0.2,2.0,0.5,0.3,0.5,0.0,0.7,0.5,0.1,0.0,18.0,2.5,0.6,0.8,0.5,0.6,1.8,0.6,16.7,76.3,0.0,0.3,0.0,Data,0.5562858827919068,1.1064663951120162
Sergio Agüero,7.53,89,"AM(CL), FW",31.0,2480.0,8.0,3.0,0.0,0.5,5.0,0.5,0.3,0.6,0.0,0.1,0.1,0.0,0.0,21.0,3.6,1.4,0.8,0.8,1.6,2.2,1.0,23.4,85.0,0.0,0.1,0.1,Data,0.5562858827919068,1.1064663951120162
Harry Kane,7.38,89,"AM(C), FW",27.0,2427.0,4.0,5.0,0.0,1.8,6.0,0.4,0.0,1.1,0.0,0.5,0.5,0.2,0.0,17.0,3.6,1.4,1.9,0.4,1.6,2.9,1.1,19.7,73.1,0.1,1.6,0.0,Data,0.5562858827919068,1.1064663951120162
NGolo Kanté,6.93,89,DMC,36.0,3096.0,4.0,3.0,0.0,0.8,1.0,2.1,1.2,1.0,0.0,0.7,1.2,0.2,0.0,4.0,0.8,0.9,0.4,0.2,1.5,1.6,1.3,56.2,87.9,0.2,1.0,0.1,Data,0.5562858827919068,1.1064663951120162
Paulo Dybala,7.08,89,"AM(CR), FW",24.0,2137.0,4.0,2.0,0.0,0.1,4.0,0.6,0.5,0.6,0.0,0.0,0.5,0.1,0.0,5.0,2.2,1.7,2.2,0.2,1.4,2.4,1.7,39.1,89.3,0.9,3.7,0.1,Data,0.5562858827919068,1.1064663951120162
Giorgio Chiellini,6.98,89,D(C),22.0,1990.0,1.0,3.0,0.0,2.1,0.0,1.0,1.2,0.6,0.2,3.7,0.1,0.6,0.0,1.0,0.5,0.2,0.8,0.0,0.4,0.4,0.3,53.4,84.9,0.2,4.4,0.0,Data,0.5562858827919068,1.1064663951120162
James Rodríguez,7.24,88,AM(CLR),13.0,1143.0,3.0,2.0,0.0,0.2,3.0,0.6,0.2,0.4,0.0,0.1,0.7,0.0,0.0,7.0,1.8,0.8,0.8,0.3,0.6,0.7,2.6,43.9,87.1,1.6,2.4,0.2,Data,0.5562858827919068,1.1064663951120162
Mats Hummels,7.17,88,D(C),20.0,1776.0,1.0,1.0,0.0,4.0,0.0,1.2,1.6,0.4,0.2,2.3,0.7,0.4,0.0,1.0,0.9,0.5,0.4,0.0,0.1,0.4,0.6,82.6,89.4,0.0,4.5,0.1,Data,0.5562858827919068,1.1064663951120162
Casemiro,7.15,88,DMC,27.0,2316.0,0.0,5.0,1.0,3.0,4.0,3.0,1.4,1.6,0.2,1.8,1.9,0.4,0.0,3.0,1.4,0.6,1.7,0.0,0.6,0.5,0.5,55.8,88.0,0.1,4.9,0.0,Data,0.5562858827919068,1.1064663951120162
Philippe Coutinho,6.93,88,M(CLR),22.0,2023.0,2.0,2.0,0.0,0.2,0.0,0.5,0.4,0.6,0.0,0.1,0.4,0.1,0.0,5.0,2.0,1.5,1.3,0.2,1.4,1.2,0.9,40.8,87.9,0.2,1.2,0.1,Data,0.5562858827919068,1.1064663951120162
