Name,Rating,Fifa Ability Overall,Position,Apps,Aerials Won per game,Man of the match,Tackles,Clearances per game,Passes per game,Pass success percentage,Unnamed: 32,Avg Minutes Played
Marcel Halstenberg,7.56,78,"D(L), M(L)",27.0,2.6,3.0,2.4,1.9,40.9,74.3,,89.4074074074074
Joshua Kimmich,7.49,85,"D(CR), DMC",34.0,0.7,4.0,1.4,1.0,74.1,90.5,,90.0
Willi Orban,7.41,79,D(C),23.0,4.8,3.0,2.0,5.7,41.6,78.2,,89.1304347826087
Lukasz Piszczek,7.41,81,"D(CR), M(R)",20.0,3.1,2.0,2.9,3.0,56.2,83.3,,87.95
Ignacio Camacho,7.34,67,"D(C), M(C)",6.0,5.5,1.0,2.5,2.0,50.0,78.3,,90.0
Daniel Caligiuri,7.28,79,"D(R), M(CLR), FW",31.0,1.3,5.0,3.0,2.0,37.2,68.5,,89.03225806451613
Ibrahima Konaté,7.19,74,D(C),27.0,3.6,0.0,1.6,4.3,37.0,76.0,,90.03703703703704
Mats Hummels,7.17,88,D(C),20.0,4.0,0.0,1.2,2.3,82.6,89.4,,88.8
Louis Beyer,7.12,63,D(R),8.0,1.6,0.0,3.6,3.0,47.6,87.9,,90.125
Achraf Hakimi,7.11,78,D(LR),19.0,0.8,0.0,1.6,1.8,63.4,86.1,,91.57894736842105
Sebastian Rode,7.1,76,"D(R), M(C)",12.0,1.4,0.0,2.6,1.1,43.1,83.4,,77.58333333333333
Benjamin Hübner,7.1,79,D(C),9.0,2.6,0.0,2.9,3.5,50.0,82.6,,90.33333333333333
Jordan Torunarigha,7.09,70,D(C),13.0,2.7,1.0,2.4,3.9,33.9,79.4,,89.3076923076923
William,7.09,74,"D(LR), M(R)",30.0,1.6,1.0,2.6,3.5,43.8,74.4,,89.2
Salif Sané,7.06,82,"D(C), DMC",29.0,4.0,1.0,1.8,4.8,51.1,83.2,,90.10344827586206
Theodor Gebre Selassie,7.03,76,"D(LR), DMC, M(R)",32.0,3.3,1.0,1.7,2.8,41.9,79.8,,87.96875
Almamy Touré,7.03,76,D(CR),6.0,2.1,0.0,2.6,3.4,34.7,73.3,,86.66666666666667
Jérôme Roussillon,7.03,79,"D(L), M(L)",28.0,0.9,3.0,1.5,1.5,36.6,77.3,,88.07142857142857
Raphael Guerreiro,7.02,81,"D(L), M(CL)",17.0,0.3,1.0,1.1,0.4,46.1,85.5,,90.11764705882354
Marc Oliver Kempf,7.01,74,D(C),23.0,5.0,3.0,1.4,5.7,44.0,81.2,,88.08695652173913
David Alaba,7.01,85,"D(CL), M(C)",29.0,0.8,0.0,1.1,1.0,56.9,85.5,,87.37931034482759
Lukas Klostermann,7.01,75,"D(LR), M(R)",22.0,1.6,2.0,1.9,2.4,30.6,74.0,,91.04545454545455
Bastian Oczipka,7,77,"D(CL), M(L)",21.0,0.6,0.0,2.0,1.0,36.8,77.1,,89.33333333333333
Valentino Lazaro,7,73,"D(R), M(CLR)",31.0,0.6,1.0,1.5,1.7,38.9,76.3,,88.48387096774194
Nordi Mukiele,6.99,77,"D(CR), M(R)",14.0,2.1,0.0,2.0,1.8,30.5,72.8,,87.64285714285714
Lukas Kübler,6.98,70,"D(R), M(R)",15.0,1.8,1.0,2.2,2.8,26.1,69.8,,79.13333333333334
Aarón Martín,6.98,77,D(L),32.0,0.7,3.0,1.7,1.8,36.2,81.9,,89.96875
Niklas Süle,6.96,84,D(C),29.0,2.6,0.0,0.9,2.6,82.6,92.9,,91.44827586206897
Maximilian Mittelstädt,6.96,70,"D(L), M(L)",20.0,1.7,1.0,2.4,2.1,29.6,73.2,,90.1
Lars Bender,6.95,83,"D(R), M(CR)",18.0,1.9,2.0,2.2,1.2,41.3,82.9,,75.94444444444444
Jonathan Tah,6.95,83,D(C),33.0,2.3,0.0,1.3,4.1,75.5,89.8,,89.06060606060606
Jonathan Schmid,6.93,74,"D(R), M(LR)",28.0,1.0,2.0,1.6,2.1,35.8,81.1,,90.0
"Dan0,00Axel Zagadou",6.92,75,D(CL),15.0,2.9,0.0,0.8,4.1,61.3,87.8,,84.46666666666667
Pavel Kaderábek,6.92,80,"D(R), M(R)",28.0,1.8,1.0,1.0,2.1,37.9,76.3,,89.60714285714286
Niklas Stark,6.92,78,"D(C), DMC",22.0,2.6,0.0,1.5,6.0,46.5,83.9,,85.04545454545455
Martin Hinteregger,6.91,77,D(C),14.0,3.6,1.0,2.4,3.5,41.2,73.1,,81.71428571428571
Alexander Hack,6.91,74,D(C),11.0,3.1,1.0,2.1,4.1,39.5,75.6,,92.63636363636364
Nico Elvedi,6.91,77,D(CLR),30.0,2.7,2.0,1.4,4.3,68.9,92.7,,87.53333333333333
Marcel Tisserand,6.9,74,"D(CLR), M(R)",10.0,2.9,1.0,1.4,4.0,56.8,78.5,,88.8
Wendell,6.9,77,"D(CL), M(L)",25.0,1.5,1.0,2.7,2.0,58.9,85.7,,91.12
Nico Schulz,6.9,80,"D(L), M(L)",29.0,0.3,1.0,1.1,1.0,39.5,78.0,,87.65517241379311
Markus Suttner,6.89,73,"D(L), M(L)",6.0,1.2,0.0,1.7,1.5,33.0,77.3,,81.83333333333333
Rani Khedira,6.89,74,"D(C), DMC",30.0,2.1,0.0,1.9,3.1,41.8,81.9,,87.56666666666666
Abdou Diallo,6.88,71,D(CL),27.0,1.8,1.0,1.3,3.1,64.9,89.0,,88.18518518518519
Javi Martínez,6.88,83,"D(C), M(C)",16.0,2.5,1.0,1.2,0.6,43.0,87.8,,82.0625
Tony Jantschke,6.87,75,"D(CR), DMC",10.0,2.2,0.0,1.1,3.4,57.4,90.0,,93.2
Edgar Prib,6.87,72,"D(L), M(CL)",2.0,0.3,1.0,2.5,0.3,21.3,80.0,,101.5
Sven Bender,6.87,81,"D(C), M(C)",25.0,2.9,0.0,1.5,3.5,61.8,90.8,,79.8
Jérôme Boateng,6.87,85,D(CR),19.0,1.5,0.0,1.1,2.5,79.8,89.0,,89.15789473684211
Martin Hinteregger,6.87,77,D(C),18.0,3.0,1.0,2.7,3.6,47.1,75.5,,87.55555555555556
Stefan Bell,6.87,76,D(CR),25.0,3.7,1.0,1.2,4.8,48.0,79.8,,90.0
Makoto Hasebe,6.87,77,"D(CR), M(CR)",28.0,1.1,0.0,1.9,3.5,52.0,85.0,,90.0
Dayot Upamecano,6.86,77,D(C),14.0,3.1,0.0,1.5,2.9,49.9,82.5,,92.28571428571429
Robin Knoche,6.86,76,D(C),31.0,2.6,1.0,0.8,4.3,65.7,85.9,,90.0
Philipp Bargfrede,6.85,76,"D(C), M(C)",13.0,1.9,0.0,1.5,3.0,36.8,81.9,,83.46153846153847
Giulio Donati,6.85,73,"D(R), M(R)",6.0,0.8,0.0,1.0,2.3,27.3,76.4,,104.5
Enrico Valentini,6.85,71,"D(R), M(R)",15.0,1.5,0.0,2.9,3.2,35.3,67.9,,86.8
Danny da Costa,6.85,77,"D(R), M(R)",34.0,1.6,1.0,1.8,1.6,26.9,62.9,,89.26470588235294
Ewerton,6.85,74,D(C),15.0,3.2,0.0,1.3,5.9,33.4,84.1,,89.46666666666667
Matthias Zimmermann,6.84,69,"D(R), DMC",34.0,1.1,0.0,2.9,2.3,37.7,78.5,,89.70588235294117
Naldo,6.83,75,D(C),7.0,4.4,0.0,1.4,3.1,46.4,80.3,,90.0
Stefan Posch,6.82,69,D(C),16.0,2.4,0.0,2.6,3.2,58.1,88.0,,87.75
Kaan Ayhan,6.81,75,"D(C), DMC",28.0,1.6,2.0,1.9,4.1,50.8,88.1,,87.53571428571429
Manuel Akanji,6.79,81,D(C),25.0,1.8,0.0,1.2,3.5,73.4,92.9,,88.24
Philipp Max,6.78,78,"D(L), M(L)",30.0,0.8,1.0,1.2,1.4,27.6,71.8,,85.83333333333333
John Brooks,6.78,79,D(C),29.0,2.7,1.0,1.0,4.6,60.1,85.9,,90.0
Timo Baumgartl,6.78,76,D(C),18.0,2.5,1.0,1.8,5.2,46.7,81.9,,90.0
Marcelo Saracchi,6.77,75,D(L),7.0,1.7,0.0,1.9,1.4,39.3,71.5,,93.14285714285714
Ludwig Augustinsson,6.76,77,"D(L), M(L)",34.0,1.9,0.0,1.6,2.1,45.3,79.9,,89.05882352941177
