Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Tackles,Clearances per game,Dribbled past per game,Goals,"Shots per
game",Dribbles per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Avg Minutes Played
Thiago Alcántara,7.59,86,M(C),26,6,1.2,3,2.9,0.6,0.8,2,0.8,1.9,1.3,83.6,91.8,0.5,92.65384615384616
Kerem Demirbay,7.59,80,AM(C),24,9,0.7,6,2.2,0.8,1.5,4,2.3,2.2,3.1,48.8,81.2,1.7,84.29166666666667
Marcel Halstenberg,7.56,78,"D(L), M(L)",27,6,2.6,3,2.4,1.9,0.8,3,0.8,1.0,2.0,40.9,74.3,1.6,89.4074074074074
Jadon Sancho,7.52,77,AM(LR),26,14,0.0,7,0.6,0.1,0.6,12,1.2,3.3,1.9,38.3,84.9,0.8,94.76923076923077
Joshua Kimmich,7.49,85,"D(CR), DMC",34,13,0.7,4,1.4,1.0,0.9,2,0.7,1.1,2.4,74.1,90.5,2.2,90.0
Thorgan Hazard,7.44,81,"AM(CLR), FW",33,10,0.7,6,1.5,0.2,0.9,10,2.3,2.2,2.2,34.8,76.9,1.4,87.21212121212122
Lukasz Piszczek,7.41,81,"D(CR), M(R)",20,6,3.1,2,2.9,3.0,0.8,1,0.6,0.4,1.1,56.2,83.3,0.6,87.95
Marco Reus,7.39,86,"M(CLR), FW",27,8,0.7,5,1.2,1.2,0.9,17,2.6,0.9,1.4,37.6,81.8,0.4,86.0
Ihlas Bebou,7.34,76,"AM(CLR), FW",12,3,1.7,4,1.3,0.7,0.4,4,2.3,2.9,1.3,30.1,71.5,0.8,89.0
Kingsley Coman,7.34,83,"AM(LR), FW",17,4,0.6,2,0.5,0.1,0.6,6,1.5,2.9,1.3,29.4,85.0,0.7,81.88235294117646
Ignacio Camacho,7.34,67,"D(C), M(C)",6,0,5.5,1,2.5,2.0,0.7,0,1.2,0.2,0.3,50.0,78.3,0.0,90.0
Ishak Belfodil,7.29,76,"AM(LR), FW",20,3,1.8,4,0.5,0.5,0.4,16,3.1,1.4,1.1,15.6,72.2,0.1,93.2
Kevin Volland,7.28,81,"AM(CLR), FW",32,9,1.0,4,1.0,0.9,0.4,14,2.6,0.9,1.3,25.3,75.0,0.6,88.125
Daniel Caligiuri,7.28,79,"D(R), M(CLR), FW",31,3,1.3,5,3.0,2.0,1.9,7,1.6,2.1,1.9,37.2,68.5,1.5,89.03225806451613
Yussuf Poulsen,7.27,78,"AM(R), FW",27,3,4.6,4,0.6,0.9,0.7,15,2.1,0.8,1.1,24.9,60.8,0.2,90.88888888888889
Marko Grujic,7.26,73,DMC,20,1,3.2,3,2.0,2.3,1.1,5,2.1,1.4,0.7,43.1,81.9,0.0,89.0
Filip Kostic,7.26,77,"M(LR), FW",33,10,1.3,5,1.9,1.1,1.2,6,1.8,1.7,1.4,29.7,64.7,1.4,89.72727272727273
Julian Brandt,7.26,82,"M(CLR), FW",30,11,0.9,3,0.8,0.2,1.1,7,2.0,1.7,2.6,51.6,81.4,1.2,89.13333333333334
Kai Havertz,7.25,80,M(CR),33,3,1.6,2,0.8,0.8,0.7,17,2.6,1.4,1.0,52.6,87.2,0.1,87.9090909090909
Vincenzo Grifo,7.25,77,AM(CL),16,3,0.2,1,1.6,0.6,0.8,6,2.6,1.9,2.2,43.3,79.2,1.1,89.4375
James Rodríguez,7.24,88,AM(CLR),13,3,0.2,3,0.6,0.1,0.7,7,1.8,0.8,2.6,43.9,87.1,1.6,87.92307692307692
Max Kruse,7.23,82,"M(CLR), FW",32,9,0.8,5,0.5,0.2,1.0,11,2.8,1.2,2.6,49.9,79.1,1.7,88.65625
Thomas Müller,7.19,86,"M(CLR), FW",28,9,1.6,3,1.3,0.4,0.9,6,2.0,0.7,1.9,37.5,74.7,0.2,85.39285714285714
Kevin Stöger,7.17,75,M(CL),24,7,0.2,3,2.5,0.6,1.5,1,1.3,1.1,2.2,54.8,85.0,1.2,88.375
Timo Werner,7.17,83,"AM(L), FW",29,7,0.3,5,0.6,0.1,0.4,16,3.6,1.0,1.2,25.5,74.2,0.2,87.06896551724138
Serge Gnabry,7.15,83,"AM(CLR), FW",21,5,0.2,3,1.2,0.1,0.8,10,2.2,1.7,0.9,26.4,83.4,0.3,84.47619047619048
Kevin Kampl,7.13,83,M(CLR),25,5,0.6,2,1.5,0.7,0.7,2,1.3,0.9,1.8,52.9,84.4,0.7,84.88
Thomas Delaney,7.13,82,DMC,27,5,1.9,4,2.3,1.4,0.4,3,1.1,0.3,0.5,53.6,85.5,0.1,84.81481481481481
Maximilian Arnold,7.11,78,M(CR),33,6,0.8,2,1.6,1.3,1.2,2,1.6,0.8,1.4,39.6,80.8,1.0,87.24242424242425
Axel Witsel,7.11,84,M(C),32,1,1.4,0,1.4,1.4,0.3,4,1.1,0.8,0.5,72.8,93.1,0.0,89.78125
Sebastian Rode,7.1,76,"D(R), M(C)",12,0,1.4,0,2.6,1.1,1.6,0,0.3,0.9,1.5,43.1,83.4,1.0,77.58333333333333
William,7.09,74,"D(LR), M(R)",30,1,1.6,1,2.6,3.5,1.3,2,0.8,0.9,1.3,43.8,74.4,0.9,89.2
Andrej Kramaric,7.09,82,"AM(CLR), FW",28,4,0.3,2,0.3,0.4,0.7,17,3.7,0.9,1.6,31.9,80.9,0.8,85.85714285714286
Florian Grillitsch,7.06,77,"DMC, M(L)",27,3,1.6,0,2.6,1.7,1.5,0,1.1,0.8,0.9,51.6,83.5,0.2,88.70370370370371
Salif Sané,7.06,82,"D(C), DMC",29,0,4.0,1,1.8,4.8,0.6,2,0.6,0.5,0.2,51.1,83.2,0.1,90.10344827586206
Theodor Gebre Selassie,7.03,76,"D(LR), DMC, M(R)",32,2,3.3,1,1.7,2.8,0.9,3,0.9,0.4,0.7,41.9,79.8,0.3,87.96875
Jérôme Roussillon,7.03,79,"D(L), M(L)",28,4,0.9,3,1.5,1.5,0.4,3,0.7,1.8,1.1,36.6,77.3,1.1,88.07142857142857
Emil Forsberg,7.02,82,AM(CLR),14,7,0.4,1,0.6,0.3,0.6,4,1.5,1.1,2.0,23.9,81.6,0.7,89.57142857142857
Raphael Guerreiro,7.02,81,"D(L), M(CL)",17,6,0.3,1,1.1,0.4,0.5,2,1.5,1.3,1.7,46.1,85.5,0.7,90.11764705882354
Ondrej Duda,7.02,75,"AM(C), FW",30,5,1.0,5,1.7,0.4,1.3,11,1.7,1.2,1.3,37.6,76.9,0.5,85.83333333333333
David Alaba,7.01,85,"D(CL), M(C)",29,3,0.8,0,1.1,1.0,0.3,3,1.5,0.9,0.9,56.9,85.5,0.7,87.37931034482759
Lukas Klostermann,7.01,75,"D(LR), M(R)",22,1,1.6,2,1.9,2.4,0.6,5,0.5,0.3,0.8,30.6,74.0,0.3,91.04545454545455
Charles Aránguiz,7,81,M(C),22,7,0.5,2,2.0,1.0,1.9,2,1.0,0.4,1.3,67.8,88.6,0.5,86.22727272727273
Mario Götze,7,82,"M(CLR), FW",19,7,0.3,0,1.0,0.2,0.8,7,1.1,1.0,1.6,33.3,81.5,0.3,88.42105263157895
Nadiem Amiri,7,78,AM(CL),10,1,0.3,0,1.1,0.3,0.8,3,1.4,1.5,1.2,27.5,87.4,0.2,76.0
Bastian Oczipka,7,77,"D(CL), M(L)",21,5,0.6,0,2.0,1.0,0.2,1,0.6,1.1,2.1,36.8,77.1,2.4,89.33333333333333
Valentino Lazaro,7,73,"D(R), M(CLR)",31,6,0.6,1,1.5,1.7,1.0,3,0.6,1.1,1.8,38.9,76.3,1.5,88.48387096774194
Nordi Mukiele,6.99,77,"D(CR), M(R)",14,1,2.1,0,2.0,1.8,0.2,1,0.4,0.9,0.6,30.5,72.8,0.4,87.64285714285714
Lukas Kübler,6.98,70,"D(R), M(R)",15,2,1.8,1,2.2,2.8,0.6,0,0.4,0.4,0.4,26.1,69.8,0.4,79.13333333333334
Milot Rashica,6.98,76,"AM(LR), FW",19,5,0.3,3,0.9,0.2,0.6,9,2.3,1.3,1.2,14.7,69.1,1.0,82.05263157894737
Maximilian Eggestein,6.98,78,M(C),34,4,1.3,2,2.0,1.9,0.9,5,1.3,0.4,1.4,45.8,80.5,0.2,89.79411764705883
Josuha Guilavogui,6.97,79,M(C),18,1,1.5,1,1.6,2.9,0.6,2,0.4,0.4,0.4,42.1,81.6,0.1,87.33333333333333
Lucas Torró,6.97,74,DMC,6,0,5.0,0,1.8,1.5,0.8,0,0.6,0.3,0.3,32.6,72.0,0.0,93.5
Leon Goretzka,6.96,83,M(CR),23,4,1.3,1,1.4,0.5,0.8,8,1.8,0.5,0.6,38.4,87.5,0.0,87.8695652173913
Julian Baumgartlinger,6.96,78,DMC,16,1,1.5,0,2.5,1.0,1.2,0,0.5,0.7,0.5,65.3,89.6,0.0,97.3125
Maximilian Mittelstädt,6.96,70,"D(L), M(L)",20,1,1.7,1,2.4,2.1,1.0,1,0.9,1.0,0.8,29.6,73.2,0.6,90.1
Admir Mehmedi,6.96,76,"M(CLR), FW",20,5,1.1,1,1.8,0.2,1.0,6,1.4,0.5,1.4,26.0,76.4,0.8,85.05
Lars Bender,6.95,83,"D(R), M(CR)",18,4,1.9,2,2.2,1.2,0.9,1,0.8,0.5,0.7,41.3,82.9,0.1,75.94444444444444
Marcel Sabitzer,6.94,81,"AM(CLR), FW",26,3,0.7,1,1.5,1.0,0.9,4,2.1,0.5,1.2,36.9,70.4,0.4,90.61538461538461
Lars Stindl,6.93,81,"M(CR), FW",19,1,0.9,1,1.0,0.6,0.6,3,1.6,0.8,1.0,35.6,82.7,0.1,79.63157894736842
Jonathan Schmid,6.93,74,"D(R), M(LR)",28,7,1.0,2,1.6,2.1,0.4,3,0.6,0.6,1.6,35.8,81.1,1.4,90.0
Paco Alcácer,6.93,81,"AM(R), FW",11,0,0.5,2,0.1,0.3,0.2,18,2.0,0.2,0.6,10.8,75.2,0.0,109.54545454545455
Diego Demme,6.92,79,DMC,24,2,1.1,0,2.9,0.5,1.3,0,0.4,0.3,1.0,56.4,81.5,0.4,85.875
Pavel Kaderábek,6.92,80,"D(R), M(R)",28,4,1.8,1,1.0,2.1,0.4,3,1.0,0.3,1.5,37.9,76.3,1.1,89.60714285714286
Niklas Stark,6.92,78,"D(C), DMC",22,0,2.6,0,1.5,6.0,0.7,1,0.5,0.0,0.1,46.5,83.9,0.0,85.04545454545455
Nuri Sahin,6.91,79,M(C),19,1,1.4,1,3.0,2.0,1.8,1,0.6,0.5,0.8,54.2,86.3,0.3,78.26315789473684
Marcel Tisserand,6.9,74,"D(CLR), M(R)",10,0,2.9,1,1.4,4.0,0.3,1,1.0,0.4,0.2,56.8,78.5,0.2,88.8
Wendell,6.9,77,"D(CL), M(L)",25,2,1.5,1,2.7,2.0,0.8,2,0.4,0.3,0.6,58.9,85.7,0.3,91.12
"Jean0,00Paul Boëtius",6.9,74,"AM(CL), AM(CL)",25,7,0.8,1,1.7,0.3,0.9,4,1.5,1.1,1.0,27.9,77.1,0.1,85.2
Leon Bailey,6.9,81,M(LR),21,1,0.4,0,0.5,0.3,0.5,5,1.9,1.8,1.6,26.2,74.4,1.3,91.47619047619048
Nico Schulz,6.9,80,"D(L), M(L)",29,5,0.3,1,1.1,1.0,0.7,1,1.0,1.7,2.0,39.5,78.0,1.1,87.65517241379311
Karim Bellarabi,6.9,81,"AM(CLR), FW",14,4,0.1,1,0.7,0.3,0.8,5,2.2,1.1,1.4,22.1,74.8,0.6,75.78571428571429
Markus Suttner,6.89,73,"D(L), M(L)",6,1,1.2,0,1.7,1.5,0.7,1,0.7,0.0,1.5,33.0,77.3,1.5,81.83333333333333
Ante Rebic,6.89,79,"AM(CLR), FW",23,4,1.3,1,0.8,0.1,0.3,9,2.2,1.7,1.2,17.7,56.9,0.3,86.30434782608695
Janik Haberer,6.89,74,"M(CLR), FW",26,3,2.0,1,2.6,1.8,1.7,1,1.0,0.9,1.7,38.7,79.2,0.2,90.11538461538461
Davy Klaassen,6.89,79,AM(C),33,4,0.9,2,1.9,1.2,1.1,5,1.0,0.5,1.2,36.0,74.5,0.3,85.54545454545455
Rani Khedira,6.89,74,"D(C), DMC",30,1,2.1,0,1.9,3.1,0.6,4,0.5,0.1,0.3,41.8,81.9,0.1,87.56666666666666
Javi Martínez,6.88,83,"D(C), M(C)",16,0,2.5,1,1.2,0.6,0.6,3,0.9,0.2,0.3,43.0,87.8,0.0,82.0625
Tony Jantschke,6.87,75,"D(CR), DMC",10,1,2.2,0,1.1,3.4,0.1,0,0.3,0.1,0.1,57.4,90.0,0.0,93.2
André Hahn,6.87,73,"AM(R), FW",21,4,2.0,1,2.3,1.0,1.1,4,1.3,0.6,1.1,16.3,57.8,0.7,97.61904761904762
Edgar Prib,6.87,72,"D(L), M(CL)",2,1,0.3,1,2.5,0.3,0.5,0,1.5,1.0,1.5,21.3,80.0,0.8,101.5
Sven Bender,6.87,81,"D(C), M(C)",25,0,2.9,0,1.5,3.5,0.4,0,0.5,0.2,0.1,61.8,90.8,0.0,79.8
Makoto Hasebe,6.87,77,"D(CR), M(CR)",28,0,1.1,0,1.9,3.5,0.6,0,0.1,0.2,0.3,52.0,85.0,0.0,90.0
Christian Pulisic,6.86,79,M(CLR),9,4,0.8,1,0.5,0.5,0.2,4,1.4,2.1,1.0,24.2,79.5,0.4,102.66666666666667
