Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Goals,"Shots per
game",Avg Minutes Played
Robert Lewandowski,7.65,90,FW,33,7,1.7,5,22,4.4,89.66666666666667
Sébastien Haller,7.55,80,FW,23,9,6.9,3,15,1.9,94.82608695652173
Thorgan Hazard,7.44,81,"AM(CLR), FW",33,10,0.7,6,10,2.3,87.21212121212122
Marco Reus,7.39,86,"M(CLR), FW",27,8,0.7,5,17,2.6,86.0
Ihlas Bebou,7.34,76,"AM(CLR), FW",12,3,1.7,4,4,2.3,89.0
Kingsley Coman,7.34,83,"AM(LR), FW",17,4,0.6,2,6,1.5,81.88235294117646
Ishak Belfodil,7.29,76,"AM(LR), FW",20,3,1.8,4,16,3.1,93.2
Kevin Volland,7.28,81,"AM(CLR), FW",32,9,1.0,4,14,2.6,88.125
Daniel Caligiuri,7.28,79,"D(R), M(CLR), FW",31,3,1.3,5,7,1.6,89.03225806451613
Yussuf Poulsen,7.27,78,"AM(R), FW",27,3,4.6,4,15,2.1,90.88888888888889
Filip Kostic,7.26,77,"M(LR), FW",33,10,1.3,5,6,1.8,89.72727272727273
Julian Brandt,7.26,82,"M(CLR), FW",30,11,0.9,3,7,2.0,89.13333333333334
Wout Weghorst,7.24,78,FW,33,7,3.4,3,17,2.1,88.81818181818181
Max Kruse,7.23,82,"M(CLR), FW",32,9,0.8,5,11,2.8,88.65625
Joelinton,7.21,75,FW,25,5,2.3,1,7,2.0,85.44
Thomas Müller,7.19,86,"M(CLR), FW",28,9,1.6,3,6,2.0,85.39285714285714
Timo Werner,7.17,83,"AM(L), FW",29,7,0.3,5,16,3.6,87.06896551724138
Serge Gnabry,7.15,83,"AM(CLR), FW",21,5,0.2,3,10,2.2,84.47619047619048
Nils Petersen,7.11,79,FW,20,3,3.8,3,10,2.0,96.5
Andrej Kramaric,7.09,82,"AM(CLR), FW",28,4,0.3,2,17,3.7,85.85714285714286
Ondrej Duda,7.02,75,"AM(C), FW",30,5,1.0,5,11,1.7,85.83333333333333
Mario Götze,7,82,"M(CLR), FW",19,7,0.3,0,7,1.1,88.42105263157895
Luka Jovic,7,78,FW,25,5,1.9,4,17,3.0,89.96
Milot Rashica,6.98,76,"AM(LR), FW",19,5,0.3,3,9,2.3,82.05263157894737
Admir Mehmedi,6.96,76,"M(CLR), FW",20,5,1.1,1,6,1.4,85.05
Marcel Sabitzer,6.94,81,"AM(CLR), FW",26,3,0.7,1,4,2.1,90.61538461538461
Lars Stindl,6.93,81,"M(CR), FW",19,1,0.9,1,3,1.6,79.63157894736842
"Jean0,00Philippe Mateta",6.93,73,FW,29,2,3.2,3,14,2.9,86.03448275862068
Paco Alcácer,6.93,81,"AM(R), FW",11,0,0.5,2,18,2.0,109.54545454545455
Karim Bellarabi,6.9,81,"AM(CLR), FW",14,4,0.1,1,5,2.2,75.78571428571429
Ante Rebic,6.89,79,"AM(CLR), FW",23,4,1.3,1,9,2.2,86.30434782608695
Janik Haberer,6.89,74,"M(CLR), FW",26,3,2.0,1,1,1.0,90.11538461538461
André Hahn,6.87,73,"AM(R), FW",21,4,2.0,1,4,1.3,97.61904761904762
Salomon Kalou,6.83,79,"AM(CLR), FW",27,2,1.4,1,8,1.6,86.18518518518519
Dodi Lukébakio,6.82,73,"AM(R), FW",22,3,0.7,2,10,1.8,89.9090909090909
Karim Onisiwo,6.81,72,"AM(LR), FW",11,3,1.7,2,7,1.5,104.81818181818181
Caiuby,6.79,77,"AM(CL), FW",10,1,4.1,0,1,2.3,100.7
"Dong0,00Won Ji",6.77,71,"AM(CLR), FW",10,1,1.9,0,4,1.6,89.2
Alassane Pléa,6.77,81,"AM(LR), FW",28,4,1.1,1,12,2.4,89.60714285714286
"Gian0,00Luca Waldschmidt",6.75,73,"AM(CR), FW",16,1,0.4,2,9,2.1,107.4375
Breel Embolo,6.74,76,"AM(R), FW",15,1,1.6,1,5,1.3,90.06666666666666
Nicolás González,6.74,71,"AM(L), FW",23,3,3.9,1,2,2.0,94.08695652173913
Niclas Füllkrug,6.74,78,FW,13,1,4.6,0,2,2.6,85.61538461538461
Benito Raman,6.74,73,"AM(LR), FW",19,4,0.2,3,10,1.8,88.36842105263158
Dawid Kownacki,6.73,70,"AM(L), FW",7,0,1.4,1,4,1.3,82.42857142857143
Hendrik Weydandt,6.73,65,FW,18,1,4.5,0,6,2.2,95.55555555555556
Lucas Alario,6.72,79,FW,11,3,1.5,2,9,1.6,114.18181818181819
Michael Gregoritsch,6.71,79,"AM(CR), FW",28,2,2.9,1,6,2.7,89.07142857142857
Ádám Szalai,6.69,76,FW,15,3,1.6,1,6,2.2,108.06666666666666
Davie Selke,6.69,77,FW,16,5,3.5,1,3,1.5,108.1875
Vedad Ibisevic,6.68,77,FW,25,2,2.4,1,10,1.8,73.04
Daniel Ginczek,6.68,77,FW,12,2,1.1,3,6,1.5,106.25
Rouwen Hennings,6.68,73,FW,19,4,1.9,0,7,2.0,96.42105263157895
Gonçalo Paciência,6.67,75,FW,4,1,1.6,1,3,1.7,97.0
Robin Quaison,6.65,74,"M(CLR), FW",25,3,0.9,1,7,1.8,88.16
Josip Drmic,6.62,75,"AM(LR), FW",2,0,0.8,0,2,1.4,109.5
Arjen Robben,6.61,84,"M(CLR), FW",7,0,0.5,1,4,1.8,80.57142857142857
Mario Gomez,6.6,80,FW,25,2,3.0,1,7,1.7,88.64
Kenan Karaman,6.59,72,"AM(CLR), FW",9,1,1.4,1,3,1.0,101.66666666666667
Martin Harnik,6.58,77,"M(LR), FW",10,2,1.2,0,4,1.6,82.9
Daniel Didavi,6.57,80,"AM(CR), FW",8,2,0.3,0,2,1.2,118.875
Patrick Herrmann,6.56,77,"M(LR), FW",10,2,0.3,0,3,0.8,107.5
Mike Frantz,6.54,73,"M(CLR), FW",29,1,1.6,0,2,0.6,77.0
Raffael,6.52,81,"AM(CL), FW",5,1,0.2,0,2,0.8,106.8
Steven Skrzybski,6.52,73,"AM(CLR), FW",8,1,0.3,1,3,1.4,83.5
Marco Fabián,6.52,77,"AM(CR), FW",1,0,0.0,0,0,1.0,63.0
Franco Di Santo,6.5,75,"AM(CLR), FW",3,0,2.0,0,0,0.8,82.33333333333333
Claudio Pizarro,6.49,74,"AM(C), FW",3,2,1.4,0,5,1.0,225.66666666666666
Mark Uth,6.49,80,"AM(CR), FW",15,1,0.7,1,2,2.0,93.93333333333334
Nicolai Müller,6.47,77,"M(CLR), FW",11,0,0.2,1,3,1.4,82.0909090909091
Jonathan Burkardt,6.46,61,Forward,4,0,1.0,0,0,1.5,65.5
Anastasios Donis,6.45,73,"AM(CR), FW",11,2,0.4,2,5,1.3,87.36363636363636
Mikael Ishak,6.44,73,FW,22,3,1.2,0,4,1.3,87.27272727272727
Anthony Ujah,6.43,73,FW,6,0,1.9,1,4,1.2,120.66666666666667
Marvin Ducksch,6.42,72,FW,8,1,1.6,1,1,1.1,102.75
Adam Zrelák,6.42,68,FW,10,1,3.9,0,2,1.2,94.0
Marco Terrazzino,6.42,70,"AM(CL), FW",7,0,0.2,0,1,0.9,74.28571428571429
Johannes Eggestein,6.41,67,"AM(R), FW",12,1,0.7,1,4,1.5,93.16666666666667
Alexander Esswein,6.4,72,"AM(LR), FW",15,0,0.9,0,0,1.7,83.93333333333334
Maximilian Philipp,6.4,79,"AM(LR), FW",9,1,0.8,0,1,0.7,84.55555555555556
Yevhen Konoplyanka,6.39,79,"AM(CL), FW",7,0,0.4,0,1,1.3,93.42857142857143
Florian Niederlechner,6.38,75,"AM(CR), FW",12,1,0.7,1,4,1.3,81.0
Matheus Cunha,6.35,70,FW,9,0,0.6,0,2,1.4,94.33333333333333
Bobby Wood,6.33,73,"AM(C), FW",12,1,1.3,0,3,0.9,98.83333333333333
Vladimír Darida,6.32,78,"M(C), FW",3,1,0.2,0,0,0.9,124.33333333333333
"Jean0,00Kévin Augustin",6.32,77,"AM(R), FW",4,0,0.1,0,3,0.8,113.0
Federico Palacios,6.31,65,FW,9,0,0.5,0,2,0.4,104.55555555555556
Yuya Kubo,6.31,74,"AM(CLR), FW",15,0,0.5,0,1,1.3,90.86666666666666
Isaac Thelin,6.29,72,FW,1,0,2.5,0,0,0.8,175.0
Sergio Córdova,6.29,67,FW,3,0,1.0,0,3,0.7,172.0
Lucas Höler,6.27,72,"AM(CLR), FW",11,0,0.6,0,4,1.0,91.27272727272727
Nicolai Müller,6.27,77,"M(CLR), FW",3,0,0.0,0,2,0.4,72.0
Issah Abass,6.25,64,Forward,0,0,0.0,0,0,1.0,
Tim Kleindienst,6.24,71,FW,2,0,1.8,0,0,1.3,99.5
Joshua Sargent,6.24,64,Forward,1,0,0.3,0,2,0.4,206.0
Aron Jóhannsson,6.21,72,FW,0,0,0.0,0,0,0.0,
Törles Knöll,6.17,64,Forward,2,0,0.8,0,1,0.4,179.5
David Otto,6.16,62,Forward,0,0,0.0,0,0,0.0,
Julian Schieber,6.12,73,FW,3,0,0.9,0,1,0.4,86.0
Haji Wright,6.1,64,FW,2,0,0.6,0,1,0.4,98.0
Pascal Köpke,6.08,71,"AM(CR), FW",0,0,0.0,0,0,0.6,
Fin Bartels,6.05,76,"M(CLR), FW",0,0,0.5,0,0,0.0,
Palko Dárdai,6.01,62,Forward,1,0,0.1,0,0,0.1,108.0
Dennis Jastrzembski,5.99,66,Forward,0,0,0.0,0,0,0.2,
Cedric Teuchert,5.99,68,FW,2,0,0.0,0,0,0.2,80.0
Branimir Hrgota,5.97,72,"AM(L), FW",0,0,0.0,0,0,0.0,
Leon Dajaku,5.97,62,Forward,0,0,0.0,0,0,0.0,
Takuma Asano,5.96,70,"AM(CLR), FW",9,0,0.4,0,0,1.0,78.0
Lionel Messi,8.48,94,"AM(CR), FW",29,13,0.2,17,36,5.0,93.44827586206897
Luis Suárez,7.57,91,"AM(CLR), FW",31,6,0.7,5,21,3.4,91.29032258064517
Iago Aspas,7.51,84,"AM(CR), FW",26,6,0.9,6,20,2.6,87.0
Karim Benzema,7.38,85,FW,35,6,1.2,7,21,2.9,84.68571428571428
Antoine Griezmann,7.29,89,"AM(CLR), FW",37,9,1.1,4,15,3.1,86.5945945945946
Wissam Ben Yedder,7.23,82,"AM(C), FW",31,9,1.1,3,18,2.2,91.0
Raúl García,7.17,80,"M(CLR), FW",27,3,5.8,6,9,2.5,88.11111111111111
Álvaro Morata,7.1,82,"AM(L), FW",13,1,4.1,1,6,2.0,83.76923076923077
Sergio Camello,7.09,78,Forward,0,0,0.0,0,1,3.0,
Jonathan Calleri,7.08,77,FW,33,2,6.0,7,9,2.4,87.21212121212122
Giovani Lo Celso,7.06,80,"AM(C), FW",27,4,0.5,4,9,2.0,88.92592592592592
Cristhian Stuani,7.03,80,"AM(CLR), FW",30,0,3.7,5,19,2.4,91.03333333333333
Sofiane Boufal,7.03,77,"AM(CLR), FW",25,3,0.5,1,3,1.5,84.0
Iñaki Williams,7,81,"AM(CLR), FW",36,4,2.1,5,13,2.0,84.44444444444444
Borja Garcés,6.98,64,Forward,0,0,0.0,0,1,3.0,
Jorge Molina,6.97,77,FW,28,5,2.4,4,14,1.5,94.67857142857143
Maxi Gómez,6.95,80,FW,33,5,4.0,3,13,2.3,89.81818181818181
Raúl de Tomás,6.94,76,FW,32,1,1.3,3,14,3.5,88.15625
André Silva,6.93,79,FW,25,0,2.5,2,9,2.3,86.56
Borja Iglesias,6.93,77,FW,35,3,1.8,2,17,2.4,88.05714285714286
Rodrigo Moreno,6.93,83,"M(CLR), FW",29,6,1.5,1,8,2.4,87.37931034482759
"Youssef En0,00Nesyri",6.91,72,"FW, FW",22,2,4.7,4,9,2.4,95.72727272727273
Guido Carrillo,6.91,75,FW,23,1,6.6,4,6,1.8,86.73913043478261
Gonçalo Guedes,6.89,82,"AM(LR), FW",18,3,0.4,1,5,1.4,81.88888888888889
Jaime Mata,6.88,76,FW,27,6,2.9,3,14,1.7,90.25925925925925
Gareth Bale,6.88,88,"M(CLR), FW",21,3,1.3,2,8,2.6,85.42857142857143
Franco Vázquez,6.87,82,"AM(CR), FW",26,4,2.0,0,3,1.3,88.07692307692308
Joaquín,6.87,63,"M(CLR), FW",17,0,0.5,1,6,0.8,99.82352941176471
José Luis Morales,6.86,81,"D(R), M(CLR), FW",35,5,0.4,2,12,1.8,91.34285714285714
Mikel Oyarzabal,6.83,80,"AM(CLR), FW",36,2,1.2,1,13,1.8,87.77777777777777
Karl Toko Ekambi,6.83,79,"AM(L), FW",24,1,1.0,2,10,1.7,89.54166666666667
Sergi Enrich,6.8,80,FW,30,4,5.0,2,7,1.9,86.43333333333334
Munir El Haddadi,6.8,77,"AM(LR), FW",12,1,1.1,1,5,2.1,87.08333333333333
Sergi Guardiola,6.79,75,FW,17,1,2.6,0,3,2.7,89.17647058823529
Gerard Moreno,6.79,83,"AM(C), FW",25,1,1.8,3,8,2.0,92.68
Adrián Embarba,6.78,76,"AM(LR), FW",27,6,0.6,1,5,1.4,84.85185185185185
Willian José,6.74,82,FW,28,5,1.4,2,11,1.8,84.78571428571429
Denis Cheryshev,6.74,77,"AM(L), FW",19,2,1.3,0,2,1.2,89.94736842105263
Santi Mina,6.71,80,"AM(LR), FW",23,5,1.4,2,7,1.4,80.8695652173913
Charles,6.7,79,FW,17,1,3.1,3,14,1.9,102.11764705882354
