Name,Rating,Fifa Ability Overall,Position,Apps,Man of the match,Pass success percentage,Avg Minutes Played
Lionel Messi,8.48,94,"AM(CR), FW",29,17,81.3,93.44827586206897
Cristiano Ronaldo,7.68,94,"M(L), FW",30,10,85.1,89.63333333333334
Neymar,8.26,92,"AM(CLR), FW",16,7,81.1,90.25
Luis Suárez,7.57,91,"AM(CLR), FW",31,5,75.3,91.29032258064517
Luka Modric,7.03,91,M(C),31,1,88.9,84.45161290322581
Sergio Ramos,6.91,91,D(CR),28,2,92.1,88.42857142857143
Leo Suárez,6.25,91,FW,7,0,80.4,74.28571428571429
Eden Hazard,7.81,91,"M(CLR), FW",32,14,84.3,91.4375
Kevin De Bruyne,7.05,91,"M(CLR), FW",11,2,83.7,88.9090909090909
Robert Lewandowski,7.65,90,FW,33,5,77.5,89.66666666666667
Toni Kroos,7.09,90,M(C),26,2,93.2,85.65384615384616
Diego Godín,6.98,90,D(C),28,1,80.5,89.57142857142857
David Silva,7.26,90,M(CLR),28,1,87.8,86.14285714285714
Antoine Griezmann,7.29,89,"AM(CLR), FW",37,4,78.3,86.5945945945946
Sergio Busquets,7.0,89,DMC,30,0,89.7,90.66666666666667
Edinson Cavani,7.44,89,"AM(LR), FW",20,2,76.3,83.8
Sergio Agüero,7.53,89,"AM(CL), FW",31,5,85.0,80.0
Harry Kane,7.38,89,"AM(C), FW",27,6,73.1,89.88888888888889
NGolo Kanté,6.93,89,DMC,36,1,87.9,86.0
Paulo Dybala,7.08,89,"AM(CR), FW",24,4,89.3,89.04166666666667
Giorgio Chiellini,6.98,89,D(C),22,0,84.9,90.45454545454545
James Rodríguez,7.24,88,AM(CLR),13,3,87.1,87.92307692307692
Mats Hummels,7.17,88,D(C),20,0,89.4,88.8
Casemiro,7.15,88,DMC,27,4,88.0,85.77777777777777
Philippe Coutinho,6.93,88,M(CLR),22,0,87.9,91.95454545454545
Gareth Bale,6.88,88,"M(CLR), FW",21,2,78.3,85.42857142857143
Isco,6.66,88,"AM(CLR), FW",11,0,88.6,108.0
Kylian Mbappé,8.0,88,"AM(LR), FW",24,9,79.4,97.66666666666667
Loïc Mbe Soh,7.07,88,"Forward, Forward",2,0,91.3,90.0
Thiago Silva,7.06,88,"D(C), D(C)",24,0,94.2,86.625
Mohamed Salah,7.57,88,"AM(CLR), FW",37,8,75.9,88.16216216216216
Pierre-Emerick Aubameyang,7.1,88,"M(LR), FW",30,4,74.0,91.1
Christian Eriksen,7.08,88,M(CLR),30,2,81.0,92.4
Gonzalo Higuaín,6.89,88,FW,13,0,77.2,84.0
Lorenzo Insigne,7.16,88,"AM(CL), FW",24,3,86.0,86.66666666666667
Gonzalo Higuaín,6.85,88,FW,15,0,83.7,85.33333333333333
Gerard Piqué,7.18,87,D(C),35,0,91.4,90.0
Ivan Rakitic,7.06,87,M(C),29,1,91.4,91.13793103448276
Jordi Alba,7.01,87,D(L),32,1,85.6,93.375
Samuel Umtiti,6.6,87,D(CL),13,0,94.5,91.53846153846153
Paul Pogba,7.31,87,M(C),34,7,82.8,88.58823529411765
Jan Vertonghen,6.89,87,D(CL),22,1,87.5,87.04545454545455
Romelu Lukaku,6.84,87,"AM(R), FW",22,2,66.3,96.81818181818181
Dries Mertens,7.2,87,"AM(CLR), FW",23,4,79.0,97.95652173913044
Kalidou Koulibaly,7.06,87,D(C),35,2,88.7,89.54285714285714
Ciro Immobile,6.96,87,FW,31,3,77.4,92.19354838709677
Mauro Icardi,6.84,87,FW,24,2,71.1,94.58333333333333
Marek Hamsik,6.66,87,"M(C), FW",12,0,88.4,76.83333333333333
Thiago Alcántara,7.59,86,M(C),26,3,91.8,92.65384615384616
Marco Reus,7.39,86,"M(CLR), FW",27,5,81.8,86.0
Thomas Müller,7.19,86,"M(CLR), FW",28,3,74.7,85.39285714285714
Raphael Varane,6.78,86,D(C),31,0,89.0,88.93548387096774
Marco Verratti,7.07,86,"DMC, DMC",23,1,90.9,82.04347826086956
Raheem Sterling,7.61,86,"M(CLR), FW",31,8,85.8,89.58064516129032
Virgil van Dijk,7.44,86,D(C),38,4,89.7,89.07894736842105
Sadio Mané,7.43,86,"AM(CLR), FW",35,6,78.2,88.17142857142858
Fernandinho,7.31,86,"D(R), DMC",27,2,87.5,88.22222222222223
Bernardo Silva,7.26,86,AM(CLR),31,4,86.1,92.03225806451613
Leroy Sané,7.26,86,M(CLR),21,1,84.4,88.9047619047619
Roberto Firmino,7.2,86,"M(CLR), FW",31,4,80.8,84.51612903225806
César Azpilicueta,7.01,86,"D(CLR), M(R)",38,1,87.0,89.55263157894737
Toby Alderweireld,6.84,86,D(CR),33,0,88.5,88.60606060606061
Mesut Özil,6.78,86,M(CLR),20,2,88.6,87.1
Alex Sandro,7.15,86,"D(L), M(L)",28,3,84.6,85.42857142857143
Medhi Benatia,7.13,86,D(C),5,0,90.5,90.0
Miralem Pjanic,7.03,86,M(C),27,3,92.1,84.74074074074075
Leonardo Bonucci,6.8,86,D(C),27,0,86.6,91.51851851851852
Adam Marusic,6.63,86,M(R),24,0,83.9,88.08333333333333
Joshua Kimmich,7.49,85,"D(CR), DMC",34,4,90.5,90.0
David Alaba,7.01,85,"D(CL), M(C)",29,0,85.5,87.37931034482759
Jérôme Boateng,6.87,85,D(CR),19,0,89.0,89.15789473684211
Daniel Parejo,7.4,85,M(C),35,9,85.8,87.51428571428572
Karim Benzema,7.38,85,FW,35,7,82.6,84.68571428571428
Saúl Ñíguez,7.17,85,"D(CL), M(CLR)",32,4,78.8,91.40625
Koke,7.09,85,M(CLR),29,1,86.2,89.24137931034483
Filipe Luís,6.96,85,D(L),24,0,83.1,84.91666666666667
Arturo Vidal,6.89,85,M(C),22,0,89.0,87.68181818181819
Marco Asensio,6.78,85,AM(CLR),19,0,86.8,93.63157894736842
Diego Costa,6.46,85,FW,14,0,70.3,79.78571428571429
Nabil Fekir,7.31,85,"AM(CR), FW",24,5,85.2,82.95833333333333
Alexandre Lacazette,7.17,85,"M(LR), FW",27,4,74.2,92.85185185185185
Nicolás Otamendi,6.98,85,D(C),14,0,92.7,88.14285714285714
Riyad Mahrez,6.96,85,AM(CLR),14,3,84.7,95.57142857142857
Vincent Kompany,6.93,85,D(C),13,0,93.0,94.07692307692308
Alexis Sánchez,6.6,85,"M(CLR), FW",9,0,74.6,97.44444444444444
Edin Dzeko,7.24,85,FW,28,6,70.9,92.0
Sergej Milinkovic-Savic,7.15,85,"AM(C), AM(C)",29,2,79.6,82.93103448275862
Ivan Perisic,7.06,85,AM(CLR),30,5,74.6,90.23333333333333
Milan Skriniar,6.89,85,D(C),35,0,92.6,90.0
Radja Nainggolan,6.89,85,M(C),22,1,84.3,89.63636363636364
Kostas Manolas,6.89,85,D(C),27,0,87.9,86.22222222222223
Blaise Matuidi,6.85,85,M(CL),29,0,87.6,83.72413793103448
Sami Khedira,6.75,85,M(C),8,0,85.8,88.875
Miranda,6.55,85,D(C),14,0,89.6,82.92857142857143
Axel Witsel,7.11,84,M(C),32,0,93.1,89.78125
Niklas Süle,6.96,84,D(C),29,0,92.9,91.44827586206897
Arjen Robben,6.61,84,"M(CLR), FW",7,1,79.4,80.57142857142857
Iago Aspas,7.51,84,"AM(CR), FW",26,6,82.0,87.0
José Giménez,7.13,84,D(CR),19,0,80.5,93.26315789473684
Daniel Carvajal,7.04,84,D(R),23,1,87.4,91.56521739130434
William Carvalho,6.79,84,DMC,26,0,89.0,91.8076923076923
Asier Illarramendi,6.75,84,M(C),20,0,84.9,91.1
Memphis Depay,7.34,84,"AM(CL), FW",29,3,80.1,94.37931034482759
Marquinhos,7.24,84,"D(CR), DMC",30,0,91.9,89.83333333333333
Florian Thauvin,7.19,84,"AM(CLR), FW",30,5,76.9,87.5
Radamel Falcao,6.85,84,FW,29,3,77.4,88.44827586206897
Dimitri Payet,6.81,84,M(CLR),23,0,77.5,83.1304347826087
Son Heung-Min,7.1,84,"M(CLR), FW",23,4,85.6,89.08695652173913
Ilkay Gündogan,7.1,84,M(C),23,2,90.8,92.8695652173913
Willian,7.06,84,AM(CLR),26,2,85.7,81.11538461538461
Aymeric Laporte,7.05,84,D(CL),34,1,92.3,89.91176470588235
Kyle Walker,6.96,84,"D(CR), M(R)",30,0,90.1,92.56666666666666
Fabinho,6.95,84,"D(R), DMC",21,0,85.3,95.85714285714286
Dele Alli,6.95,84,M(CL),22,1,80.3,83.4090909090909
Anthony Martial,6.9,84,"AM(LR), FW",18,2,79.3,90.22222222222223
Jorginho,6.88,84,DMC,37,0,89.3,85.54054054054055
Davinson Sánchez,6.83,84,D(C),22,0,89.9,88.31818181818181
Sokratis,6.82,84,D(CR),25,0,89.4,87.96
Nemanja Matic,6.76,84,DMC,28,0,86.9,87.17857142857143
Alejandro Gómez,7.64,84,"M(CL), FW",34,7,84.4,85.67647058823529
Mario Mandzukic,7.34,84,"M(L), FW",23,3,71.1,87.82608695652173
José Callejón,7.03,84,M(LR),29,1,86.6,91.44827586206897
Juan Cuadrado,6.85,84,"D(R), M(CLR), FW",14,2,88.1,87.42857142857143
Stefan de Vrij,6.85,84,D(C),28,0,91.6,90.0
Raúl Albiol,6.81,84,D(C),19,0,89.4,90.10526315789474
Leonardo Capezzi,6.31,84,M(C),10,0,85.3,77.6
Kingsley Coman,7.34,83,"AM(LR), FW",17,2,85.0,81.88235294117646
Timo Werner,7.17,83,"AM(L), FW",29,5,74.2,87.06896551724138
Serge Gnabry,7.15,83,"AM(CLR), FW",21,3,83.4,84.47619047619048
Kevin Kampl,7.13,83,M(CLR),25,2,84.4,84.88
Leon Goretzka,6.96,83,M(CR),23,1,87.5,87.8695652173913
Lars Bender,6.95,83,"D(R), M(CR)",18,2,82.9,75.94444444444444
Jonathan Tah,6.95,83,D(C),33,0,89.8,89.06060606060606
Javi Martínez,6.88,83,"D(C), M(C)",16,1,87.8,82.0625
Franck Ribéry,6.77,83,AM(L),10,1,82.5,116.8
Corentin Tolisso,6.73,83,"D(R), M(C)",1,0,79.1,52.0
Allan Souza,6.3,83,DMC,2,0,68.9,87.5
Ousmane Dembélé,7.25,83,AM(CLR),20,3,80.7,83.65
Rodrigo,7.24,83,DMC,32,3,91.1,85.71875
Rodrigo Moreno,6.93,83,"M(CLR), FW",29,1,74.4,87.37931034482759
Sergi Roberto,6.91,83,"D(R), M(CR)",23,1,90.5,90.82608695652173
Thomas Lemar,6.87,83,AM(CLR),22,1,85.2,83.13636363636364
Gerard Moreno,6.79,83,"AM(C), FW",25,3,71.8,92.68
Rodrigo Tarín,6.67,83,D(C),15,0,76.9,95.26666666666667
Lucas Vázquez,6.63,83,M(R),15,1,84.1,100.13333333333334
Stefan Savic,6.63,83,D(C),17,0,81.6,82.41176470588235
Quincy Promes,6.59,83,"M(CLR), FW",15,1,78.9,104.73333333333333
Manu Trigueros,6.51,83,M(C),18,1,86.7,86.05555555555556
Adrien Rabiot,7.31,83,"DMC, DMC",12,1,93.1,88.66666666666667
Julian Draxler,7.02,83,"AM(CLR), AM(CLR)",22,3,89.8,93.0
Mario Balotelli,6.86,83,FW,12,2,68.9,78.33333333333333
Kamil Glik,6.81,83,D(C),33,2,83.9,90.0
Kevin Strootman,6.76,83,DMC,21,0,82.3,92.42857142857143
Luiz Gustavo,6.72,83,"D(C), M(C)",26,3,88.8,93.61538461538461
Presnel Kimpembe,6.69,83,"D(C), D(C)",23,0,93.6,87.21739130434783
Cesc Fàbregas,6.53,83,"M(CL), FW",12,0,84.7,80.75
Mario Balotelli,6.33,83,FW,9,0,69.4,84.33333333333333
Felipe Anderson,7.23,83,"M(CLR), FW",36,6,76.0,84.83333333333333
Marcos Alonso,7.18,83,"D(CL), M(L)",31,2,85.0,89.06451612903226
Idrissa Gueye,7.14,83,M(C),32,2,84.3,88.3125
David Luiz,7.08,83,"D(C), DMC",36,0,88.0,89.97222222222223
Lucas Moura,6.96,83,"AM(CLR), FW",25,3,76.1,85.12
Henrikh Mkhitaryan,6.88,83,M(CLR),19,1,79.9,86.57894736842105
John Stones,6.87,83,D(CR),20,0,94.2,88.15
Naby Keita,6.74,83,M(C),16,0,88.5,87.125
Juan Mata,6.7,83,AM(CLR),16,0,86.0,80.9375
Mateo Kovacic,6.65,83,M(CL),21,0,92.0,83.0952380952381
Gabriel Jesus,6.64,83,"AM(LR), FW",8,1,82.6,127.75
Cesc Fàbregas,6.28,83,"M(CL), FW",1,0,86.5,176.0
Suso,7.39,83,"AM(CLR), FW",35,7,82.5,86.6
Rodrigo de Paul,7.37,83,"AM(CLR), FW",36,6,76.4,88.72222222222223
Allan,7.13,83,DMC,28,2,89.6,93.35714285714286
Lucas Leiva,7.11,83,"D(C), M(C)",22,2,87.9,90.36363636363636
Kevin Strootman,7.09,83,DMC,1,0,77.8,90.0
Francesco Acerbi,6.95,83,D(C),37,2,87.0,89.45945945945945
Daniele De Rossi,6.8,83,"D(C), M(C)",15,0,87.5,84.86666666666666
Julian Brandt,7.26,82,"M(CLR), FW",30,3,81.4,89.13333333333334
Max Kruse,7.23,82,"M(CLR), FW",32,5,79.1,88.65625
Thomas Delaney,7.13,82,DMC,27,4,85.5,84.81481481481481
Andrej Kramaric,7.09,82,"AM(CLR), FW",28,2,80.9,85.85714285714286
Salif Sané,7.06,82,"D(C), DMC",29,1,83.2,90.10344827586206
Emil Forsberg,7.02,82,AM(CLR),14,1,81.6,89.57142857142857
Mario Götze,7.0,82,"M(CLR), FW",19,0,81.5,88.42105263157895
Rafinha,6.67,82,"D(CLR), M(R)",9,0,93.3,99.66666666666667
Wissam Ben Yedder,7.23,82,"AM(C), FW",31,3,73.9,91.0
Pablo Sarabia,7.16,82,"D(L), M(CLR)",30,5,79.6,91.0
Álvaro Morata,7.1,82,"AM(L), FW",13,1,59.4,83.76923076923077
Lucas Hernández,7.02,82,D(CL),13,1,81.3,86.07692307692308
Marc Bartra,6.97,82,D(CR),33,1,87.8,88.78787878787878
Geoffrey Kondogbia,6.95,82,DMC,14,2,84.4,88.85714285714286
Thomas Partey,6.93,82,"D(R), M(CR)",22,5,83.8,93.95454545454545
Gabriel Paulista,6.93,82,D(CR),30,1,86.7,87.5
Ezequiel Garay,6.92,82,D(C),24,0,83.6,89.04166666666667
Gonçalo Guedes,6.89,82,"AM(LR), FW",18,1,75.9,81.88888888888889
Clément Lenglet,6.88,82,D(C),22,1,89.4,87.95454545454545
Franco Vázquez,6.87,82,"AM(CR), FW",26,0,79.3,88.07692307692308
Willian José,6.74,82,FW,28,2,74.8,84.78571428571429
Dani García,6.67,82,DMC,29,0,82.8,85.58620689655173
Víctor Ruiz,6.67,82,D(C),22,0,86.0,89.81818181818181
Andrés Guardado,6.55,82,"D(L), M(CL)",27,0,88.9,86.66666666666667
Malcom,6.53,82,AM(CLR),6,0,86.9,101.33333333333333
Arthur,6.49,82,DMC,19,0,93.5,75.84210526315789
Gelson Martins,6.35,82,AM(R),1,0,77.4,224.0
Rafinha,6.33,82,M(CLR),3,0,89.0,75.0
Aritz Aduriz,6.25,82,FW,10,0,62.3,94.1
Thomas Meunier,7.07,82,"D(R), M(R)",19,1,84.5,85.0
Dani Alves,7.02,82,"D(R), M(CR)",19,0,85.6,85.52631578947368
Gelson Martins,6.94,82,AM(R),16,0,78.1,87.0625
Adil Rami,6.74,82,D(C),16,1,83.4,88.375
Wilfried Zaha,7.21,82,"AM(LR), FW",34,6,77.3,89.44117647058823
Gylfi Sigurdsson,7.16,82,"M(CLR), FW",36,6,76.2,87.05555555555556
Andrew Robertson,7.12,82,"D(L), M(L)",36,1,83.2,89.41666666666667
Kieran Trippier,7.1,82,"D(R), M(R)",26,1,78.9,87.61538461538461
Shkodran Mustafi,7.05,82,D(CR),31,2,81.9,84.41935483870968
Harry Maguire,7.01,82,D(C),31,2,85.6,83.83870967741936
Pedro,6.97,82,M(CLR),21,5,86.5,84.80952380952381
Jamie Vardy,6.94,82,"AM(L), FW",30,3,65.6,91.1
Laurent Koscielny,6.92,82,D(C),13,1,91.9,102.3076923076923
Georginio Wijnaldum,6.89,82,M(CL),32,1,91.1,85.5
Marko Arnautovic,6.84,82,"AM(CLR), FW",24,2,74.7,83.375
Antonio Rüdiger,6.78,82,D(CR),33,0,91.5,87.0909090909091
Lucas Torreira,6.72,82,DMC,24,0,87.4,99.20833333333333
Aaron Ramsey,6.7,82,M(CR),14,0,82.0,95.07142857142857
Jordan Henderson,6.67,82,M(CLR),21,0,87.2,94.42857142857143
Jesse Lingard,6.59,82,AM(CLR),19,1,85.7,87.89473684210526
Álvaro Morata,6.56,82,"AM(L), FW",11,0,76.9,85.72727272727273
Fred,6.49,82,M(C),13,1,86.3,80.38461538461539
Olivier Giroud,6.43,82,FW,7,0,68.2,119.14285714285714
Andrea Belotti,7.23,82,FW,37,6,64.8,89.21621621621621
João Cancelo,7.2,82,"D(LR), M(R)",22,2,86.2,89.4090909090909
Giacomo Bonaventura,7.16,82,M(CLR),8,0,88.7,81.375
Aleksandar Kolarov,7.12,82,"D(CL), M(L)",32,5,80.6,90.8125
Federico Fazio,7.07,82,D(C),31,2,85.1,90.48387096774194
Steven Nzonzi,7.06,82,M(C),29,1,87.7,90.3103448275862
Luis Alberto,7.05,82,"AM(CL), FW",25,3,82.0,80.12
Iván Marcano,6.96,82,D(CL),9,0,87.1,90.11111111111111
Alessandro Florenzi,6.89,82,"D(R), M(CLR)",24,0,78.2,91.04166666666667
Lucas Biglia,6.88,82,DMC,13,1,90.4,85.76923076923077
Alessio Romagnoli,6.86,82,D(CL),32,1,91.2,89.03125
Marco Parolo,6.85,82,M(C),28,0,78.1,91.5
Daniele Rugani,6.84,82,D(C),15,0,90.0,90.0
Javier Pastore,6.7,82,AM(CLR),7,0,85.7,85.14285714285714
Federico Bernardeschi,6.68,82,"M(CLR), FW",14,0,83.1,105.42857142857143
Samu Castillejo,6.46,82,AM(CLR),8,1,86.7,126.0
Thorgan Hazard,7.44,81,"AM(CLR), FW",33,6,76.9,87.21212121212122
Lukasz Piszczek,7.41,81,"D(CR), M(R)",20,2,83.3,87.95
Kevin Volland,7.28,81,"AM(CLR), FW",32,4,75.0,88.125
Raphael Guerreiro,7.02,81,"D(L), M(CL)",17,1,85.5,90.11764705882354
Charles Aránguiz,7.0,81,M(C),22,2,88.6,86.22727272727273
Marcel Sabitzer,6.94,81,"AM(CLR), FW",26,1,70.4,90.61538461538461
Lars Stindl,6.93,81,"M(CR), FW",19,1,82.7,79.63157894736842
Paco Alcácer,6.93,81,"AM(R), FW",11,2,75.2,109.54545454545455
Leon Bailey,6.9,81,M(LR),21,0,74.4,91.47619047619048
Karim Bellarabi,6.9,81,"AM(CLR), FW",14,1,74.8,75.78571428571429
Sven Bender,6.87,81,"D(C), M(C)",25,0,90.8,79.8
Manuel Akanji,6.79,81,D(C),25,0,92.9,88.24
Alassane Pléa,6.77,81,"AM(LR), FW",28,1,72.0,89.60714285714286
Christoph Kramer,6.71,81,DMC,13,1,88.9,87.38461538461539
Matija Nastasic,6.57,81,D(C),28,0,82.2,87.53571428571429
Kevin Vogt,6.54,81,"D(CR), M(C)",28,0,89.3,85.53571428571429
Raffael,6.52,81,"AM(CL), FW",5,0,83.4,106.8
Shinji Kagawa,6.22,81,M(CL),1,0,89.0,98.0
Iñaki Williams,7.0,81,"AM(CLR), FW",36,5,70.3,84.44444444444444
Simon Kjaer,6.87,81,D(C),25,0,85.7,80.64
José Luis Morales,6.86,81,"D(R), M(CLR), FW",35,2,71.1,91.34285714285714
Dani Ceballos,6.76,81,M(CL),13,0,92.6,96.0
Daniel Wass,6.74,81,"D(LR), M(CLR)",26,0,78.0,90.61538461538461
Pablo Fornals,6.71,81,M(CLR),28,1,78.1,88.67857142857143
Nélson Semedo,6.68,81,D(R),20,0,91.2,80.1
Vitolo,6.55,81,M(CLR),5,0,77.9,149.0
Pedro León,6.39,81,M(LR),5,0,56.6,85.2
Carlos Bacca,6.38,81,FW,12,0,68.1,105.25
Kevin-Prince Boateng,6.22,81,"M(CLR), FW",3,0,76.7,80.0
Ricardo Pereira,7.34,81,"D(LR), M(R)",35,4,78.0,89.28571428571429
Benjamin Mendy,7.29,81,"D(L), DMC, M(L)",10,0,88.3,90.0
João Moutinho,7.06,81,M(C),35,1,84.8,86.85714285714286
Granit Xhaka,7.03,81,M(C),29,4,85.3,86.27586206896552
Ander Herrera,6.96,81,M(C),16,2,87.8,87.8125
